Guess,yucca
yards,21000
yells,20000
yuans,22100
yanks,21000
yelde,20000
yaels,21000
yairs,21000
yangs,21000
yanns,21000
yfkes,20000
yings,20000
ymkes,20000
ynzes,20000
yongs,20000
youps,20100
yvans,20100
yvets,20000
yvons,20000
yucca,22222
